ad,rank_within_ad,region,appearances,unique_predictions,frame_count,frame_fraction,mean_score,max_score,mean_rank
Considering_What_Paris_2024_Paralympic_Games,13,R Gyrus subcallosal,29,25,281,0.10320284697508897,2.1679310344827587,2.76,3.6551724137931036
Considering_What_Paris_2024_Paralympic_Games,14,L Sulcus circular insula sup,26,21,281,0.09252669039145907,2.6753846153846155,3.09,4.230769230769231
Considering_What_Paris_2024_Paralympic_Games,15,L Sulcus orbital-H Shaped,26,21,281,0.09252669039145907,2.1476923076923073,2.64,4.115384615384615
Considering_What_Paris_2024_Paralympic_Games,16,L Gyrus front middle,25,21,281,0.08896797153024912,2.1576,2.46,4.92
Considering_What_Paris_2024_Paralympic_Games,17,L Gyrus and Sulcus subcentral,22,19,281,0.07829181494661921,2.1827272727272726,2.55,5.045454545454546
Considering_What_Paris_2024_Paralympic_Games,18,R Sulcus orbital-H Shaped,22,18,281,0.07829181494661921,2.0827272727272725,2.38,4.2727272727272725
Considering_What_Paris_2024_Paralympic_Games,19,L Gyrus and Sulcus paracentral,21,17,281,0.07473309608540925,2.1614285714285715,2.7,4.428571428571429
Considering_What_Paris_2024_Paralympic_Games,20,R Lat Fis-ant-Vertical,20,16,281,0.0711743772241993,2.5565,2.99,3.4
Considering_What_Paris_2024_Paralympic_Games,21,L Gyrus front sup,20,17,281,0.0711743772241993,2.1805,2.4,4.5
Considering_What_Paris_2024_Paralympic_Games,22,R Gyrus cuneus,19,15,281,0.06761565836298933,2.5121052631578946,3.46,3.210526315789474
Considering_What_Paris_2024_Paralympic_Games,23,L Sulcus temporal inf,19,15,281,0.06761565836298933,2.221578947368421,2.57,4.684210526315789
Considering_What_Paris_2024_Paralympic_Games,24,R Gyrus and Sulcus frontomargin,18,16,281,0.06405693950177936,2.47,2.93,4.833333333333333
Considering_What_Paris_2024_Paralympic_Games,25,L Sulcus central,18,14,281,0.06405693950177936,2.0999999999999996,2.25,4.611111111111111
Considering_What_Paris_2024_Paralympic_Games,26,L Gyrus temporal middle,17,14,281,0.060498220640569395,2.1576470588235295,2.53,4.705882352941177
Considering_What_Paris_2024_Paralympic_Games,27,R Sulcus circular insula sup,16,14,281,0.05693950177935943,2.705625,3.09,4.125
Considering_What_Paris_2024_Paralympic_Games,28,L Lat Fis-ant-Vertical,16,13,281,0.05693950177935943,2.5412500000000002,2.95,4.4375
Considering_What_Paris_2024_Paralympic_Games,29,R Gyrus postcentral,16,13,281,0.05693950177935943,2.241875,2.52,3.375
Considering_What_Paris_2024_Paralympic_Games,30,L Gyrus cuneus,15,11,281,0.05338078291814947,2.508666666666667,3.37,4.866666666666666
Considering_What_Paris_2024_Paralympic_Games,31,L Gyrus pariet inf-Angular,15,12,281,0.05338078291814947,2.1266666666666665,2.26,5.333333333333333
Considering_What_Paris_2024_Paralympic_Games,32,R Gyrus pariet inf-Supramar,14,10,281,0.0498220640569395,2.5614285714285714,3.0,4.785714285714286
Considering_What_Paris_2024_Paralympic_Games,33,L Sulcus orbital lateral,14,12,281,0.0498220640569395,2.335,2.72,2.9285714285714284
Considering_What_Paris_2024_Paralympic_Games,34,R Sulcus suborbital,13,10,281,0.046263345195729534,2.5415384615384613,2.81,4.3076923076923075
Considering_What_Paris_2024_Paralympic_Games,35,R Sulcus subparietal,13,11,281,0.046263345195729534,2.5100000000000002,2.88,3.3846153846153846
Considering_What_Paris_2024_Paralympic_Games,36,L Lat Fis-ant-Horizont,13,10,281,0.046263345195729534,2.460769230769231,2.87,3.0
Considering_What_Paris_2024_Paralympic_Games,37,L Gyrus front inf-Triangul,13,11,281,0.046263345195729534,2.396923076923077,2.57,3.4615384615384617
Considering_What_Paris_2024_Paralympic_Games,38,L Gyrus subcallosal,13,11,281,0.046263345195729534,2.3661538461538463,2.58,4.0
Considering_What_Paris_2024_Paralympic_Games,39,L Lat Fis-post,12,9,281,0.042704626334519574,2.5075,2.82,3.0833333333333335
Considering_What_Paris_2024_Paralympic_Games,40,R Sulcus oc-temp med and Lingual,12,10,281,0.042704626334519574,2.505,2.8,4.25
Considering_What_Paris_2024_Paralympic_Games,41,R Sulcus central,12,10,281,0.042704626334519574,2.1975000000000002,2.49,5.666666666666667
Considering_What_Paris_2024_Paralympic_Games,42,L Sulcus precentral-sup-part,11,8,281,0.03914590747330961,2.84,3.11,3.727272727272727
