index,time_sec,video_frame_index,prediction_index,top_regions,png_path
59,29.5,706,29,R Sulcus orbital med-olfact (2.09); R Gyrus orbital (1.99); L Sulcus front inf (1.95); R Gyrus front sup (1.93); R Gyrus temporal middle (1.92); L Sulcus orbital-H Shaped (1.90); R Sulcus cingul-Marginalis (1.90); L Gyrus rectus (1.89),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0059_0029.5s.png
60,30.0,718,30,R Gyrus orbital (1.90); L Gyrus rectus (1.88); R Gyrus temporal middle (1.88); R Gyrus rectus (1.86); L Sulcus front inf (1.84); L Sulcus orbital-H Shaped (1.84); R Sulcus orbital med-olfact (1.83); R Gyrus and Sulcus cingul-Ant (1.80),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0060_0030.0s.png
61,30.5,730,30,R Gyrus orbital (1.90); L Gyrus rectus (1.88); R Gyrus temporal middle (1.88); R Gyrus rectus (1.86); L Sulcus front inf (1.84); L Sulcus orbital-H Shaped (1.84); R Sulcus orbital med-olfact (1.83); R Gyrus and Sulcus cingul-Ant (1.80),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0061_0030.5s.png
62,31.0,742,31,L Gyrus rectus (1.93); R Gyrus orbital (1.91); R Gyrus rectus (1.83); L Sulcus orbital-H Shaped (1.81); L Gyrus and Sulcus cingul-Ant (1.76); R Sulcus orbital-H Shaped (1.76); R Sulcus orbital med-olfact (1.74); L Sulcus front inf (1.72),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0062_0031.0s.png
63,31.5,754,31,L Gyrus rectus (1.93); R Gyrus orbital (1.91); R Gyrus rectus (1.83); L Sulcus orbital-H Shaped (1.81); L Gyrus and Sulcus cingul-Ant (1.76); R Sulcus orbital-H Shaped (1.76); R Sulcus orbital med-olfact (1.74); L Sulcus front inf (1.72),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0063_0031.5s.png
64,32.0,766,32,R Gyrus rectus (1.98); L Gyrus rectus (1.87); R Sulcus orbital med-olfact (1.78); L Sulcus orbital-H Shaped (1.77); R Sulcus orbital-H Shaped (1.75); R Gyrus orbital (1.73),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0064_0032.0s.png
65,32.5,778,32,R Gyrus rectus (1.98); L Gyrus rectus (1.87); R Sulcus orbital med-olfact (1.78); L Sulcus orbital-H Shaped (1.77); R Sulcus orbital-H Shaped (1.75); R Gyrus orbital (1.73),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0065_0032.5s.png
66,33.0,790,33,R Gyrus rectus (1.94); R Sulcus orbital med-olfact (1.92),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0066_0033.0s.png
67,33.5,802,33,R Gyrus rectus (1.94); R Sulcus orbital med-olfact (1.92),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0067_0033.5s.png
68,34.0,814,34,R Sulcus orbital med-olfact (1.95); R Gyrus rectus (1.82); L Gyrus temp sup-Lateral (1.82); L Sulcus circular insula inf (1.81); L Gyrus rectus (1.80); R Sulcus orbital-H Shaped (1.75),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0068_0034.0s.png
